"List of International Social Media Bans and Restrictions Against Teens - Dynamic Teen Coalition 2025 (Compiled by Aditya Majumdar, DTC Board Member and Ambassador, Contact: adityamajumdar2008@gmail.com)   https://linktr.ee/dtcigf",,,,,,
Country,Law Name ,Date ,Status of Implementation,Ages Affected,Description,Source
China,Guidelines for the Establishment of the Mobile Internet Model for Minors,11/15/2024,Passed,<16,"Cyberspace Administration of China implemented a prohibition of cell phone usage from 10PM to 6AM, and a daily screen time limit of 1 hour.",https://www.cac.gov.cn/2024-11/15/c_1733364304749288.htm
China,Opinions on Regulating Online Live Rewards and Strengthening the Protection of Minors,05/07/2022,Passed,<18,Legislature forbids Individuals under 18 from livestreaming and tipping livestreamers. ,"https://english.www.gov.cn/statecouncil/ministries/202205/09/content_WS627866a2c6d02e533532a6d6.html, https://digitalpolicyalert.org/event/4544-opinions-on-regulating-online-live-rewards-and-strengthening-the-protection-of-minors-adopted"
France,French Law no. 2023-566,7/7/2023,Passed,<15,Legislature forbids french teens from accessing social media accounts without the consent of the parent.,"https://www.legifrance.gouv.fr/download/pdf?id=uixn4vDFFJU_veW4xSVamq3PzXyh2U2x_naRfEud_Wg=,https://www.vie-publique.fr/loi/288274-majorite-numerique-15-ans-reseaux-sociaux-loi-7-juillet-2023"
United Kingdom,Social Media Ban added to the Online Safety Act,11/20/2024,Proposed,<16,Potential law will forbid under-16s to access social media.,https://www.bbc.com/news/articles/ce9gpdrx829o
Australia ,Online Safety Amendment (Social Media Minimum Age) Bill 2024,11/29/2024,Passed,<16,Social media banned for under-16s.,https://parlinfo.aph.gov.au/parlInfo/download/legislation/bills/r7284_aspassed/toc_pdf/24150b01.pdf;fileType=application%2Fpdf
Norway,Personal Data Act Amendment,10/24/2024,Pending,<15,Implementation will ban under-15s from social media and enforces a stronger verification system.,https://www.euractiv.com/section/politics/news/norwegian-government-sets-15-year-age-limit-for-using-social-media/
Indonesia,Social Media Ban for Minors*,1/15/2025,Proposed,<16*,Teens will be banned from accessing social media platforms following Australia's ban,https://www.voanews.com/a/indonesia-to-push-social-media-protections-ahead-of-age-limit-law/7937439.html
Germany,GDPR Article 8,5/28/2018,Passed,<16,Individuals under 16 require parental consent to make a social media account.,https://www.heise.de/en/news/Instagram-Teen-accounts-now-also-in-Germany-10194685.html
Croatia ,Personal Data Protection Act,5/3/2018,Passed,,Individuals under 16 require parental consent to make a social media account.,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_05_42_805.html
Hungary,GDPR Article 8,5/28/2018,Pending,,Individuals under 16 require parental consent to make a social media account.,https://fra.europa.eu/en/publication/2017/mapping-minimum-age-requirements-concerning-rights-child-eu/consent-use-data-children?form=MG0AV3
Ireland,Data Protection Act 2018 ,5/28/2018,Passed,,Individuals under 16 will require parental consent to make a social media account.,https://data.oireachtas.ie/ie/oireachtas/act/2018/7/eng/enacted/a0718.pdf
Luxembourg,GDPR Article 8,5/28/2018,Pending,,Individuals under 16 will require parental consent to make a social media account.,https://fra.europa.eu/en/publication/2017/mapping-minimum-age-requirements-concerning-rights-child-eu/consent-use-data-children?form=MG0AV3
Netherlands,GDPR Article 8,5/28/2018,Pending,,Individuals under 16 will require parental consent to make a social media account.,https://fra.europa.eu/en/publication/2017/mapping-minimum-age-requirements-concerning-rights-child-eu/consent-use-data-children?form=MG0AV3
Slovakia,GDPR Article 8,5/28/2018,Pending,,Individuals under 16 will require parental consent to make a social media account.,https://fra.europa.eu/en/publication/2017/mapping-minimum-age-requirements-concerning-rights-child-eu/consent-use-data-children?form=MG0AV3
